dirty_id,dirty_name,clean_id,clean_name,type,pattern
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48421,23:16.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:36733,23:16,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48426,19:26.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:438800,19:26,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48494,18:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33041,18:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48509,11:21;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:658520,11:21,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48562,47:19.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:529860,47:19,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48584,"TG Israel,",4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:30448,TG Israel,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48618,9:51.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33215,9:51,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48648,20:18.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:73871,20:18,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48720,Mordecai Esther’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:441750,Mordecai Esther,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48748,Haman’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48710,Haman,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48811,22:47.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:559599,22:47,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48866,10:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31073,10:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49044,2:28.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:74089,2:28,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49090,17:24.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42906,17:24,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49094,12:31.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:72948,12:31,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49120,17:42.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:448095,17:42,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49135,16:31.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:55524,16:31,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49164,44:18.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:442640,44:18,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49182,17:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:35715,17:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49231,23:45.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3308,23:45,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49242,20:35.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:65447,20:35,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49248,9:38.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5319,9:38,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49258,5:11.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46890,5:11,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49267,21:25.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:58911,21:25,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49281,37:18.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49218,37:18,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49337,28:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:56446,28:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49382,42:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:710736,42:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49392,29:10.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:32215,29:10,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49402,48:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:447235,48:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49413,Nelson Pratt's,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45199,Nelson Pratt,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49439,18:30.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33514,18:30,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50048,Sarah Abraham’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:278232,Sarah Abraham,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50189,Jacob’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5767,Jacob,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50300,El-beth-el:,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:447023,El-beth-el,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50304,Rachel’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26905,Rachel,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50395,Pharaoh’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26868,Pharaoh,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50396,Pharaoh’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31019,Pharaoh,place,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50456,Benjamin’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:437202,Benjamin,person,possessive
