name,cat,reason,degree,fam,cooc,mentions
jamás viniera,4,spanish_verb,25,0,15,2
Invitaciones Considera,1,clean,31,0,15,2
Eddie Gene Gonzales Jr.,1,clean,2,0,0,1
Helah HELAH,2,duplicated_word,84,0,33,26
Immanuel,1,clean,4439,0,1419,952
Rosa G. Mejía,4,spanish_verb,66,0,48,1
Mareshah,1,clean,2084,0,936,321
Stanton McDonald,1,clean,2,0,0,1
Will Allen Dromgoole’s,2,possessive,33,0,14,2
Jehoshabeath JEHOSHABEATH,2,duplicated_word,65,0,35,16
Yukatek,1,clean,56,0,22,3
¡Celebren,1,clean,24,0,5,3
Típico,1,clean,34,0,13,1
Reseña Participar,1,clean,48,0,21,4
"to-the-elderly-in-the-church.html"">A",5,unbalanced_quotes,39,0,24,1
Shema Rumour,1,clean,77,0,52,2
Acatando,4,spanish_verb,27,0,15,2
Frances Taylor Gench,1,clean,18,0,6,1
Moroni Defeats Zerahemnah,1,clean,51,0,18,9
Carole Call King,1,clean,1510,0,723,22
Alice Ludlow Wilkinson,1,clean,92,0,34,3
Lorine Jue to Scott Hales and Jed Woodworth,1,clean,54,0,29,3
extrañé,4,single_lowercase,32,0,15,1
Para Jeisa Marit Vázquez Reyes,1,clean,2,0,0,1
Michael DeGroote,1,clean,95,0,39,1
Jeannethe Campos de Espinoza,1,clean,43,0,18,2
Obadiah Obad,1,clean,147,0,93,43
21.--I,1,clean,259,0,100,6
Tikk,1,clean,25,0,9,2
"[i. e.,",5,starts_nonword,124,0,45,5
G. L. Farrell,1,clean,115,0,41,1
George J.] Adams,1,clean,21,0,7,1
David Nielson,1,clean,115,0,30,5
Kurigalzu III,1,clean,84,0,28,1
aguas”⁵. Durante Su visita,1,clean,43,0,11,1
Estaca Highland Este,1,clean,42,0,24,3
Creation Story Revealed,1,clean,34,0,11,1
Gospel of Thomas 109,1,clean,89,0,27,6
Jonah 2:1-10,3,scripture_ref,38,0,10,15
Barabbas I.e.,1,clean,66,0,31,12
b. Revelation,1,clean,120,0,30,34
Alma 33:18,3,scripture_ref,32,0,10,5
H′ G′ F′ E′ B ′ D,1,clean,33,0,11,4
Abraham Kaplan,1,clean,76,0,28,3
Rhea Mae Rosvall,1,clean,65,0,28,4
Juan Alberto Arce,1,clean,53,0,19,2
g. P. de G. P.,1,clean,84,0,25,40
Oraron,1,clean,119,0,60,5
Augusto Leyva,1,clean,93,0,65,1
Unnecessarily Harsh,1,clean,38,0,18,1
Daiana Melina Albornoz Díaz,1,clean,2,0,0,1
Functionally,1,clean,112,0,31,30
"50:25,Ecclus 50:26",1,clean,36,0,16,2
9:22,5,numeric_only,38,0,7,9
Maasiai,1,clean,876,1,503,115
Clio Der Sarkissian,1,clean,62,0,22,1
Ethel G. Romanes,1,clean,138,0,62,1
“Why do we hold fast,5,starts_nonword,63,0,35,1
Keiter,1,clean,37,0,20,1
Kimo,1,clean,133,0,41,2
Aseguró,1,clean,25,0,15,2
Amen-Ra,1,clean,95,0,32,28
