name,cat,reason,degree,fam,cooc,mentions
Departamento Genealógico de la Iglesia,1,clean,24,0,14,1
the Hall of Avtinas,1,clean,12,0,8,1
XXIX,1,clean,1,0,0,1
De 18:6-8,1,clean,35,0,16,1
Cenotaph,1,clean,36,0,17,1
the Philistine Plain,1,clean,75,0,37,1
the Pearl River,1,clean,41,0,22,1
Miclot,1,clean,26,0,9,1
the Horn Creek,1,clean,17,0,3,1
Barrio Arlington,1,clean,23,0,14,1
Deseosas,1,clean,33,0,21,1
the Gospel of Matthew,1,clean,1196,0,633,33
the Messages(Salt Lake City: Deseret Book,1,clean,141,0,55,2
Registrador de la Iglesia,1,clean,109,0,47,4
Impii,1,clean,16,0,10,1
el Salvador? ¿Cómo,1,clean,197,0,125,7
Erastus Snow,1,clean,247,0,124,7
Billium,1,clean,32,0,18,1
Newport,1,clean,467,0,224,10
THE WESTERN HEMISPHERE,1,clean,44,0,20,1
pharynx,4,single_lowercase,15,0,7,1
~~my~~,5,starts_nonword,64,0,34,2
softball,4,single_lowercase,21,0,14,1
Misión Danesa,1,clean,169,0,112,4
Programe,1,clean,50,0,24,2
world.¹⁰,2,footnote_suffix,43,0,21,1
Nefi 19:7–9,3,scripture_ref,37,0,24,1
espiritual’”⁶. A,1,clean,24,0,14,1
Fuentes,1,clean,12,0,8,1
Beeves,1,clean,27,0,22,1
Loren C. Dunn,1,clean,248,0,67,6
claramente”¹. Este,1,clean,25,0,16,1
theNauvoo Neighbor,1,clean,93,0,35,2
Rohrbough,1,clean,114,0,59,2
Coseguina,1,clean,31,0,22,1
Contenía,4,spanish_verb,173,0,105,8
Filemón,1,clean,398,0,200,3
columna de nube descendía,4,spanish_verb,13,0,7,1
the Atlanta Temple,1,clean,74,0,36,4
Mai,1,clean,41,0,20,1
Bloomfield Hills,1,clean,58,0,40,2
Iguaçú River,1,clean,16,0,9,1
Beeley,1,clean,164,0,78,1
Erfurt,1,clean,37,0,18,1
Osiek,1,clean,84,0,42,1
Ogden Norte,1,clean,38,0,26,1
Corless,1,clean,102,0,38,1
Backbiting,1,clean,25,0,8,2
Hosea 6:2,1,clean,34,0,20,1
(2) Pida a los niños,5,starts_nonword,21,0,13,1
Montenegro,1,clean,57,0,38,2
mandes”⁴.,4,single_lowercase,29,0,20,1
GEE Jeroboam,1,clean,59,0,26,2
Barriga,1,clean,43,0,28,2
Gittite,1,clean,372,0,180,5
llama[rían,4,single_lowercase,71,0,43,2
Comité de Templos de la Iglesia,4,spanish_verb,29,0,15,1
Ulrike,1,clean,85,0,46,1
Herriman,1,clean,300,0,125,6
Forest Hills Ward,1,clean,22,0,10,1
Suprema Corte,1,clean,22,0,10,1
West frames,1,clean,35,0,23,1
Le 20:24,1,clean,107,0,80,2
the Western Hemisphere,1,clean,2399,0,1352,111
Francisco,1,clean,93,0,45,3
Viking Penguin,1,clean,112,0,58,2
Mystowice,1,clean,33,0,19,2
Iowaville,1,clean,119,0,47,1
Carlitos,1,clean,20,0,11,1
antigua Nauvoo,1,clean,38,0,31,1
XlI,1,clean,1,0,0,1
Albiston,1,clean,98,0,51,1
Lugal,1,clean,0,0,0,0
Bután,4,spanish_verb,23,0,19,1
Ese Salvador,1,clean,36,0,20,1
pueblo;hermoseará,4,single_lowercase,17,0,9,1
Eduardo Ayala,1,clean,117,0,52,2
Granden,1,clean,93,0,41,1
Capacitación Misional del Pacífico,1,clean,15,0,7,1
Libro Cuarto,1,clean,47,0,33,1
Messiah's,2,possessive,36,0,23,1
Benjamín poseerá Galaad,1,clean,16,0,8,1
Isa 49:2,3,scripture_ref,133,0,70,3
Jeremiah 7:23,1,clean,172,0,126,2
the Mexico Central America Area,1,clean,54,0,31,1
hacernos</em,4,single_lowercase,33,0,16,1
Song 2:7,3,scripture_ref,0,0,0,0
San Pete,1,clean,327,0,146,6
Beatific,1,clean,32,0,21,1
Winston,1,clean,876,0,387,14
