from_name,from_type,relation,to_name,to_type
Asael Smith,person,SPOUSE_OF,Mary Duty Smith,person
Queen Victoria,person,SPOUSE_OF,PRINCE ALBERT,person
Heber,person,SPOUSE_OF,Helen Saunders,people
Truman,person,SPOUSE_OF,Sister Polly Angel,concept
Bishop Smoot,people,SPOUSE_OF,Smoot,person
Millen,person,SPOUSE_OF,Atwood,person
Bishop William,person,SPOUSE_OF,Martha Granger,person
WILLIAM CLAYTON,person,SPOUSE_OF,Ruth Moon,person
Elder Thomas Bullock,person,SPOUSE_OF,Lucy Clayton,person
Bishop Layton,person,SPOUSE_OF,Sister Layton,person
PARLEY,person,SPOUSE_OF,Pratt,person
Gen,person,SPOUSE_OF,Rich,person
Apostle John Taylor,person,SPOUSE_OF,Leonora,person
Apostle Orson Pratt,person,SPOUSE_OF,Marian Ross,person
Apostle Wilford Woodruff,person,SPOUSE_OF,Carter,person
President Wilford Woodruff,person,SPOUSE_OF,Woodruff,person
John Steele,person,SPOUSE_OF,Catherine Campbell Steele,person
Idaho,people,SPOUSE_OF,CHURCH,person
Utah,person,SPOUSE_OF,Matheson,person
Bishop Richard Richardson,people,SPOUSE_OF,Sister Fay Richardson,people
Jussi Kemppainen,person,SPOUSE_OF,Raija Kemppainen,person
Newel,person,SPOUSE_OF,Elizabeth Ann,person
John,person,SPOUSE_OF,Annie,person
Cassie,person,SPOUSE_OF,Will,person
Pepe,person,SPOUSE_OF,Tepahu,person
Eulogia,person,SPOUSE_OF,Delio,person
Doug,person,SPOUSE_OF,Alice Mae,person
Julie,person,SPOUSE_OF,Carl,person
Ken,person,SPOUSE_OF,De Ann,person
Flavius Clemens,person,SPOUSE_OF,Flavia Domitilla,person
Hezron,person,SPOUSE_OF,Ephrath,person
Abigail,person,SPOUSE_OF,Nabal,person
Apollophanes,people,SPOUSE_OF,Stratonice,period
Asir,person,SPOUSE_OF,Originally Asirtu,concept
Jacob,person,SPOUSE_OF,Israel,person
Edna,person,SPOUSE_OF,Ecbatana,person
Isaac,person,SPOUSE_OF,Laban,person
Raguel,person,SPOUSE_OF,Edna,person
Augustus,person,SPOUSE_OF,Julia,person
Jehoiada,person,SPOUSE_OF,Jehosheba,person
HEROD'S,people,SPOUSE_OF,Joanna,person
Amram,person,SPOUSE_OF,Levi,person
Zebedee,person,SPOUSE_OF,Salome,person
Kenite,person,SPOUSE_OF,Jael,person
Jaddus,people,SPOUSE_OF,Augia,person
