neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1030,John 6:43,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1047,Mark 15:23,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1068,Nahum 3:5,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1073,John 14:26.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1074,John 17:26.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1077,D&C 18:27,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1083,John 12:28.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1092,John 11:51,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1093,Mosiah 3:13,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1094,D&C 42:58,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1125,Luke 14:12.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1141,Alma 13:21,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1145,Luke 12:20,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1146,John 11:10.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1147,John 13:30,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1160,Luke 19:12,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1161,John 4:46,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1165,Luke 1:65.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1177,James 5:5,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1178,Alma 32:37,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1188,Alma 44:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1189,Alma 50:39,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1190,Alma 53:14,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1213,Mark 10:20,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1223,John 16:1,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1224,Alma 48:14.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1227,Luke 5:14,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1231,Luke 21:4,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1668,Alma 13:18.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1680,Mark 14:3,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1684,John 21:18,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1686,Titus 2:2,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1698,Luke 5:39,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1699,John 3:4,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1709,Luke 19:29,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1710,Mark 13:3,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1717,Mark 10:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1721,Mark 7:35,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1722,Luke 13:25. heart burn,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1723,Luke 24:45,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1727,John 7:10,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1733,James 1:3.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1735,Alma 42:16.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1745,D&C 77:11,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1751,Alma 41:2.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1755,D&C 132:8.,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1760,Alma 13:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1773,Jacob 2:34,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1784,D&C 64:2,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1804,Luke 14:19.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1810,Alma 31:30,person,scripture_ref
