name,cat,reason,degree,fam,cooc,mentions
July 1990,1,clean,778,0,450,17
Corinth about AD 96,1,clean,35,0,16,1
Tit 1:11-15,3,scripture_ref,1,0,0,1
"Wednesday, May 17",1,clean,74,0,37,1
11x,1,clean,115,0,67,1
"August 22, 1990",1,clean,62,0,46,1
"Jan. 26, 1846",1,clean,98,0,64,1
"Friday, October 5.--Report",1,clean,34,0,16,1
130-35 AD,3,short_scripture,76,0,36,1
about last week,1,clean,23,0,8,1
the winter season,1,clean,774,0,415,26
As early as 1970,1,clean,79,0,43,3
11. Many years,1,clean,29,0,20,1
12:9 . 17,5,numeric_only,73,0,51,0
"Thursday, September 9",1,clean,38,0,28,1
3:5n3,3,short_scripture,30,0,18,1
"the July, August",1,clean,43,0,22,1
"Feb. 19, 2018",1,clean,23,0,4,1
the rainy days,1,clean,49,0,29,3
about eighteen days,1,clean,63,0,29,1
"Oct. 10, 1926",1,clean,72,0,45,1
the final weeks of 1833,1,clean,47,0,28,1
Isaiah 1,1,clean,198,0,148,6
1Ki 18:44,1,clean,1,0,0,1
the February 1832 Vision,1,clean,21,0,16,1
"August 1, 1847",1,clean,43,0,19,1
between Jesusâ day,1,clean,23,0,10,1
May 1953,1,clean,154,0,88,3
late August 2005,1,clean,38,0,17,1
this past era,1,clean,47,0,27,1
two nights,1,clean,1059,0,609,43
184–88,5,numeric_only,186,0,105,2
"October 27, 2021",1,clean,35,0,21,1
a beautiful day,1,clean,45,0,26,1
"March 21, 1843",1,clean,64,0,49,1
"Mar. 31, 1847",1,clean,97,0,51,1
501–03,5,numeric_only,77,0,33,1
"Jan. 15, 1977",1,clean,90,0,33,1
The leisure hours,1,clean,38,0,22,1
130:8–9,5,numeric_only,20,0,14,2
"Mar. 24, 1853",1,clean,98,0,63,1
"January 20, 1852",1,clean,29,0,19,1
"May 6, 1833",1,clean,596,0,391,10
115–19,5,numeric_only,156,0,100,2
The summer of 1895,1,clean,36,0,13,1
"Feb. 2, 1870",1,clean,93,0,65,1
1879–1968,5,numeric_only,217,0,114,2
"March 8, 1744",1,clean,122,0,58,1
thirty-eight long years,1,clean,54,0,24,1
"January 21, 1884",1,clean,47,0,9,1
the August 2008 First Presidency Message,1,clean,18,0,12,1
cold day,1,clean,89,0,46,2
"the 27th of August, 1847",1,clean,47,0,17,1
"Jan. 30, 2010",1,clean,143,0,89,1
"Sunday, November 13th",1,clean,31,0,21,1
the hour and the day,1,clean,177,0,107,6
the regnal year 15,1,clean,21,0,11,1
the beginning of 2:7,1,clean,22,0,11,1
"April 8, 1851",1,clean,80,0,47,1
Just seven years,1,clean,32,0,27,1
the years of,1,clean,168,0,105,7
17]Acts 10:45,1,clean,107,0,41,1
1:813. 17,5,numeric_only,116,0,61,1
"February 4, 1838",1,clean,39,0,13,1
"June 26, 1858",1,clean,110,0,50,4
John 2:6,3,scripture_ref,261,0,164,6
1884-94,5,numeric_only,64,0,29,1
the September 23,1,clean,55,0,26,1
Only a few seconds,1,clean,33,0,23,2
the third hour,1,clean,669,0,411,18
"April 20, 2006",1,clean,48,0,27,1
16]Proceedings,1,clean,82,0,55,1
the beginning of the 1838,1,clean,41,0,28,1
later World’s Fairs,1,clean,57,0,32,1
About nine o’clock,1,clean,65,0,45,3
Road 5,1,clean,11,0,2,1
Twenty-three years later,1,clean,36,0,17,1
just over two months,1,clean,136,0,68,4
Joh 18:15,1,clean,1,0,0,1
"2],â 9",1,clean,157,0,59,1
62-year,1,clean,27,0,16,1
a full half hour,1,clean,45,0,18,2
611–35. 17,5,numeric_only,162,0,65,1
Aug. 1975,1,clean,94,0,40,2
the summer of 1959,1,clean,55,0,35,1
16:28,5,numeric_only,264,0,170,3
the mid-1800s,1,clean,677,0,382,22
November 11,1,clean,511,0,326,11
three-day-old,4,single_lowercase,57,0,30,2
the “Great Basin Kingdom,1,clean,34,0,16,1
"Oct. 14, 1889",1,clean,23,0,13,0
The last night,1,clean,20,0,11,1
separate weeks,1,clean,14,0,11,1
18:24â19:7,3,short_scripture,55,0,33,1
eighteen-day,4,single_lowercase,29,0,15,1
29:27-28,5,numeric_only,80,0,46,1
another 24 years,1,clean,15,0,6,1
"May 12, 1988",1,clean,246,0,151,3
154–161,5,numeric_only,19,0,13,1
"April 10, 1837",1,clean,43,0,20,1
two whole hours,1,clean,20,0,14,1
1:22 and 1:23,3,short_scripture,18,0,7,1
the Twelve Apostles 2002-04,1,clean,24,0,18,1
"May 19th, 1838",1,clean,69,0,32,2
early dawn,1,clean,338,0,146,10
fifty weeks,1,clean,54,0,28,1
their nights and days,1,clean,13,0,7,1
"107:17, 20",3,short_scripture,23,0,18,1
The fourth day,1,clean,157,0,104,1
Table 3,1,clean,28,0,19,2
23–39,5,numeric_only,98,0,50,1
26:17–19;Mark 14:12–16;Luke 22:7–13,1,clean,146,0,85,1
Light of Morning,1,clean,21,0,10,1
SECLUSION,1,clean,44,0,9,1
the first six months of 2012,1,clean,33,0,19,1
revelation-26-april-1838,4,single_lowercase,35,0,25,1
B.C. 139,1,clean,2,0,0,1
135â36,1,clean,257,0,126,3
the last of Jan.,1,clean,29,0,9,1
"1824, 1828",1,clean,57,0,19,1
406–10,5,numeric_only,52,0,31,1
"Quarterly, April, 1906",1,clean,0,0,0,0
"November 1, 1884",1,clean,131,0,65,1
only fifty days later,1,clean,28,0,20,1
1:50–54,5,numeric_only,29,0,15,1
"Oct. 7, 1856",1,clean,44,0,31,1
"Mar. 17, 1925",1,clean,102,0,61,1
1Ma 6:15,1,clean,28,0,12,1
"18, January, 1903",1,clean,19,0,14,1
this first-century-BC,1,clean,39,0,20,1
Nephi a year to 15 months,1,clean,50,0,23,1
the early 1300s,1,clean,43,0,23,1
April 1830Doctrine,1,clean,56,0,35,1
"Feb. 26, 1898",1,clean,87,0,58,1
September 1823 to March 1830,1,clean,22,0,16,1
"Oct. 11, 1845",1,clean,98,0,63,1
the east two hundred and fifty,1,clean,4,0,2,1
"Sunday, March 17, 1839",1,clean,42,0,12,1
"Mar. 15, 2016",1,clean,87,0,61,0
"April 24, 1845",1,clean,44,0,21,1
These twenty years,1,clean,23,0,11,1
the turn of the 21st century,1,clean,36,0,23,1
the past 150 years,1,clean,173,0,106,5
One preparation day,1,clean,20,0,11,1
the ‘Pool of Siloam,1,clean,35,0,21,1
the period between 1907 and 1928,1,clean,28,0,10,1
"Sunday, May 22",1,clean,41,0,34,1
the last seven months,1,clean,136,0,61,4
4:24-43,5,numeric_only,1,0,0,1
Acts 20:14,3,scripture_ref,54,0,25,1
"September 4, 1947",1,clean,77,0,54,1
"November 7, 1914",1,clean,38,0,19,1
the next fourteen years,1,clean,113,0,46,3
48-hour,1,clean,41,0,16,1
a particularly difficult week,1,clean,30,0,13,1
"April 7, 1984",1,clean,257,0,160,6
up to three weeks,1,clean,35,0,20,1
another six years,1,clean,97,0,58,3
the week’s end,1,clean,33,0,14,1
"December 23, 1819",1,clean,117,0,76,3
the last day of the season,1,clean,34,0,19,2
15:29. 99,5,numeric_only,85,0,59,1
173–77,5,numeric_only,53,0,22,1
"Sept. 18, 1982",1,clean,128,0,73,1
Only four thousand years,1,clean,25,0,12,1
the saints.44 45,1,clean,58,0,29,1
"November 15, 1792",1,clean,40,0,18,1
Nov. 1985,1,clean,1228,0,868,34
"about 2,500 years",1,clean,80,0,47,2
Dec. 1845,1,clean,559,0,310,6
Benhadad II,1,clean,1,0,0,1
the first half of the AD second century,1,clean,69,0,31,1
1Sa 6:20,1,clean,57,0,35,3
last two,1,clean,26,0,15,1
13:10 and 13:12,1,clean,53,0,32,1
the 1950–51 school year,1,clean,42,0,29,1
6:11-18,5,numeric_only,101,0,61,2
July 1907,1,clean,61,0,24,2
"18:13,",3,short_scripture,116,0,41,1
Helaman 3:14,3,scripture_ref,35,0,23,1
3:37 to 6:33,3,short_scripture,57,0,37,3
the 28th of October,1,clean,141,0,70,5
"Thursday, August 1.âThe",1,clean,26,0,11,1
"February 18, 1998",1,clean,84,0,57,1
16:1-21,5,numeric_only,40,0,27,1
Isaiah 10:23–27,1,clean,45,0,28,1
2:271,5,numeric_only,177,0,88,1
21:5â36,3,short_scripture,51,0,34,1
Isa 49:2,3,scripture_ref,54,0,31,2
"July 14, 1858",1,clean,71,0,37,1
Oct. 1–3,1,clean,95,0,62,1
fiscal year 1976,1,clean,21,0,16,1
A.D. 84,1,clean,49,0,23,1
9:60,5,numeric_only,36,0,23,1
Job 28:10,3,scripture_ref,55,0,31,1
"January 19, 1971",1,clean,83,0,43,2
between two and three hundred,1,clean,90,0,48,3
fifty years ago,1,clean,706,0,346,21
"13, 1951",1,clean,101,0,58,1
B.C. 642,1,clean,2,0,0,1
season of the year,1,clean,351,0,173,20
"Nov. 18, 1918",1,clean,36,0,20,1
6:00 the next morning,1,clean,52,0,26,2
1849-61,5,numeric_only,1,0,0,1
1:21Esther 1:21,1,clean,61,0,38,1
1Ch 1:53,1,clean,179,0,65,2
two or three minutes eleven months ago,1,clean,22,0,14,1
May to June 1834,1,clean,44,0,22,1
"Sunday, 21st.--At half past eight o'clock",1,clean,65,0,37,1
September of 2020,1,clean,22,0,15,1
1871–1939,5,numeric_only,110,0,48,1
the months of June and July,1,clean,127,0,78,2
"Nov. 7, 1914",1,clean,92,0,56,1
August 1995,1,clean,241,0,108,4
c. 1885,1,clean,38,0,12,1
another 40 years,1,clean,16,0,10,1
"July 3, 1997",1,clean,35,0,17,1
B.C. 1137,1,clean,109,0,48,1
a thousand years ago,1,clean,108,0,65,3
half-hour,4,single_lowercase,145,0,83,6
274–75,5,numeric_only,906,0,500,10
"October 8, 1829",1,clean,83,0,43,2
One week,1,clean,757,0,416,38
more than thirty minutes,1,clean,109,0,58,2
Aug. 1841,1,clean,47,0,7,1
about 1830,1,clean,56,0,29,2
One snowy day,1,clean,55,0,32,2
"approximately 1,200 years",1,clean,35,0,19,1
the next twenty-three years,1,clean,26,0,19,1
"January 9, 1897",1,clean,86,0,43,1
"January 13th, 1849",1,clean,58,0,19,1
"April 23, 2000 82",1,clean,148,0,63,1
Jeremiah 37:1-21,1,clean,62,0,35,1
159–69,5,numeric_only,100,0,43,1
only thirty minutes,1,clean,54,0,33,2
(2nd century,5,starts_nonword,103,0,62,2
Revelation 6:14,1,clean,116,0,84,2
"January 29, 2007",1,clean,64,0,35,1
One day eight years ago,1,clean,58,0,33,1
the preceding Friday,1,clean,125,0,71,3
