entity_id,name,entity_type,reason
252631,## Entering,object,markdown_heading
252632,## Baptism,object,markdown_heading
252635,"p6%2Cp10#p5"">D&amp;C 39:5–6",person,html_fragment
252646,## General Administration,object,markdown_heading
252647,## Area Administration,object,markdown_heading
252648,## Local Administration,object,markdown_heading
252650,ages 18 months to 11 years,period,measurement
252651,(ages 18 through 30,period,leading_punct
252652,(ages 31,period,leading_punct
252653,Society</a></p,person,html_fragment
252667,Mosiah 5:2,people,scripture_ref
252670,"=p31-p34#p31"">Jeremiah 31:31–34</a>",person,html_fragment
252672,"eng"">Abraham 4–5</a></p>",person,html_fragment
252678,Helaman 14:16–17,period,scripture_ref
252687,"p7#p7"">D&amp;C 14:7</a",period,html_fragment
252701,Home Evening</a>,person,html_fragment
252703,Isaiah 58:6,concept,scripture_ref
252731,"p7#p7"">D&amp;C 59:7</a></p",period,html_fragment
252732,Nephi 5:27</a>,person,html_fragment
252737,"p17#p17"">D&amp;C 20:17</a></p>",person,html_fragment
252748,Mosiah 5:1–6,person,scripture_ref
252749,D&C 132:7,people,scripture_ref
252751,Faith 1:4</a></p>,people,html_fragment
252762,Peter 3:15</a>,person,html_fragment
252763,John 3:2–3</a>,person,html_fragment
252769,Peter 5:5–6</a>,person,html_fragment
252774,Jesus Christ</a></p>,person,html_fragment
252779,"p26#p26"">2 Nephi 9:26</a>",person,html_fragment
252803,John 4:7–21</a>,person,html_fragment
252826,## Language and Behavior Like,object,markdown_heading
252828,Faith 1:3–5</a></p>,concept,html_fragment
252832,## Declaration,object,markdown_heading
252834,# Personal Revelation,object,markdown_heading
252851,## Priesthood Authority,object,markdown_heading
252852,## Priesthood Quorums,object,markdown_heading
252854,## Priesthood Keys,object,markdown_heading
252865,## Elements,object,markdown_heading
252866,### Confession,object,markdown_heading
252876,### Partake,object,markdown_heading
252877,D&C 76:19,people,scripture_ref
252891,"p8#p8"">D&amp;C 59:8</a></p",period,html_fragment
252892,## Answering,object,markdown_heading
252899,Nephi 15:23–24</a>,concept,html_fragment
252907,## Importance of,object,markdown_heading
252908,Faith 1:8</a></p,concept,html_fragment
252934,Alma 40:15–18,person,scripture_ref
252946,D&C 46:22,people,scripture_ref
252947,D&C 46:23,people,scripture_ref
252962,## Methods,object,markdown_heading
252963,# Temples Temples,object,markdown_heading
252964,## Ordinances,object,markdown_heading
252966,## Center,object,markdown_heading
252967,## Never,object,markdown_heading
252972,# Ten Commandments,object,markdown_heading
252979,## Definition,object,markdown_heading
252989,## Overcoming Addiction,object,markdown_heading
252999,Alma 32:11,person,scripture_ref
253000,Faith 1:11</a></p>,concept,html_fragment
253011,Matthew 19:14 Doctrine,person,scripture_ref
253050,Luke 2:3–7 Luke 18:15–17,person,scripture_ref
253057,Matthew 3:13–16 Articles,person,scripture_ref
253069,# Beauty Everywhere 1,object,markdown_heading
253099,grah,person,lowercase_token
253106,John 13:17 Moses 6:33,person,scripture_ref
253111,1. Day,period,measurement
253128,Luke 24:36–43 3,person,scripture_ref
253144,# Faith 1,object,markdown_heading
253154,# Family Night,object,markdown_heading
253175,# Follow,object,markdown_heading
253193,# “Give,object,markdown_heading
253198,Matthew 5:41 3,person,scripture_ref
253242,# Help Me,object,markdown_heading
253253,# Home 1,object,markdown_heading
253262,Nephi 17:21–25,people,scripture_ref
253272,# Hum Your Favorite Hymn 1,object,markdown_heading
253278,Alma 34:38 Doctrine,person,scripture_ref
253308,Psalm 55:17 Alma 37:37,person,scripture_ref
253317,Psalm 55:17 James 1:5–6,person,scripture_ref
253356,# I’m Thankful to Be Me,object,markdown_heading
253357,Psalm 92:1–2,person,scripture_ref
253385,Matthew 5:43–46,person,scripture_ref
253394,# Keep the Commandments 1,object,markdown_heading
253412,# Little,object,markdown_heading
253419,# Love One,object,markdown_heading
253441,Alma 46:12 Articles of,person,scripture_ref
253460,Alma 32:28 Doctrine and,person,scripture_ref
253505,# Roll Your Hands 1,object,markdown_heading
253534,# Sleep,object,markdown_heading
253550,Luke 2:8–14 Matthew 2:1–2,person,scripture_ref
253554,# Supplication,object,markdown_heading
253589,John 5:39 Articles of,person,scripture_ref
253630,Malachi 4:5–6 Doctrine,person,scripture_ref
253658,Ezekiel 18:20 Revelation 20:12 2,people,scripture_ref
253699,Matthew 3:16–17 3,person,scripture_ref
253713,# Two,object,markdown_heading
253719,# We Welcome,object,markdown_heading
253728,# Westward Ho,object,markdown_heading
253765,## Activities,object,markdown_heading
253816,Nephi 18:3–12 -,concept,scripture_ref
253833,22:40–46 ##,object,markdown_heading
253877,Psalm 23,period,scripture_ref
253878,Psalm 23:2,people,scripture_ref
253879,Psalm 23:3,person,scripture_ref
253903,1:8 ##,object,markdown_heading
253917,- Discuss,people,leading_punct
253986,dem,people,lowercase_token
254007,11–12 ##,object,markdown_heading
254017,one day in 1910,period,measurement
254035,58:13–14 ##,object,markdown_heading
254076,John 4:19 - 3,person,scripture_ref
254100,## Music Helps - Each,object,markdown_heading
254112,147:3–5 ##,object,markdown_heading
254120,The year 2019,period,measurement
254123,John 4:19 - Alma 33:4–11 - 2,person,scripture_ref
254124,## Questions,object,markdown_heading
254126,## Music Helps - In,object,markdown_heading
254134,1:5 ##,object,markdown_heading
254205,rit,people,lowercase_token
254211,## Questions to Ponder - When,object,markdown_heading
254216,## Music Helps - This,object,markdown_heading
254230,4:9 ##,object,markdown_heading
254260,Luke 24:5–6 - 3,person,scripture_ref
254290,Helaman 14:5,concept,scripture_ref
254292,Helaman 14:2–8,person,scripture_ref
254326,18:10–16 ##,object,markdown_heading
254337,## Music Helps - At,object,markdown_heading
254354,anon,place,lowercase_token
254356,circa,person,lowercase_token
254360,## Music,object,markdown_heading
254370,(8686,concept,leading_punct
254374,## Old Testament,object,markdown_heading
254408,## M Master,object,markdown_heading
254409,## N Nay,object,markdown_heading
254434,### Introduction Brackets,object,markdown_heading
254465,## Features,object,markdown_heading
254474,## Explanation,object,markdown_heading
254497,Nephi 18:3–13,concept,scripture_ref
254507,John 14:2 Doctrine and,person,scripture_ref
254540,Matthew 26:36–45,person,scripture_ref
254548,2. Day,period,measurement
254553,John 4:19 Alma 33:4–11,person,scripture_ref
254561,Nephi 18:1–13 Doctrine and Covenants 20:75–79,concept,scripture_ref
254564,Psalm 119:57,person,scripture_ref
254584,# I’m Gonna Live So God Can Use Me 1,object,markdown_heading
254588,attendeth,person,lowercase_token
254635,Jacob 5:70–71 Doctrine,person,scripture_ref
254668,Matthew 5:14–16 Doctrine,person,scripture_ref
254678,Matthew 22:1–10 Doctrine,person,scripture_ref
254722,# All Creatures,object,markdown_heading
254725,Psalm 148 Doctrine,person,scripture_ref
254759,# Arise,object,markdown_heading
254792,# Awake,object,markdown_heading
254808,# Beautiful Zion,object,markdown_heading
254820,# Before Thee,object,markdown_heading
254898,Matthew 4:19 2 Nephi 31:10–21,person,scripture_ref
254955,# Count Your Blessings 1,object,markdown_heading
254966,Psalm 5:3,person,scripture_ref
254991,# Far,object,markdown_heading
255012,Psalm 13:6 Doctrine,person,scripture_ref
255029,Psalm 95:1–7,person,scripture_ref
255048,Isaiah 52:8,people,scripture_ref
255090,John 3:16–17 Doctrine,person,scripture_ref
255134,# Great God,object,markdown_heading
255137,Psalm 84:9–12,person,scripture_ref
255141,# Great,object,markdown_heading
255154,# Guide Me to Thee 1,object,markdown_heading
255157,# Guide Us,object,markdown_heading
255164,# Hail,object,markdown_heading
255172,# Hark,object,markdown_heading
255194,Psalm 86:6,person,scripture_ref
255198,# Help Me Teach with,object,markdown_heading
255204,# Holy Temples,object,markdown_heading
255216,# How Beautiful Thy Temples,object,markdown_heading
