src_id,src_name,rel_type,dst_id,dst_name,src_type
36300,Zabad,FATHER_OF,36556,Ephlal,person
36556,Ephlal,FATHER_OF,19422,Obed,person
19422,Obed,FATHER_OF,36335,Jehu,person
36335,Jehu,FATHER_OF,36557,Azariah,person
36557,Azariah,FATHER_OF,36252,Helez,person
36252,Helez,FATHER_OF,36559,Eleasah,person
36559,Eleasah,FATHER_OF,36560,Sisamai,person
36535,Shammai,FATHER_OF,306863,And,person
36521,Hur,FATHER_OF,3580,Caleb,person
36570,Shema,FATHER_OF,36571,Raham,person
36569,Rekem,FATHER_OF,36535,Shammai,person
36573,Haran,FATHER_OF,36575,Gazez,person
36722,Kore,FATHER_OF,36721,Meshelemiah,person
36527,Machir,FATHER_OF,3519,Gilead,person
19095,Jonathan,FATHER_OF,306863,And,person
36765,Mikloth,FATHER_OF,37230,Shimeah,person
36756,Ner,FATHER_OF,28096,Kish,person
36574,Moza,FATHER_OF,37237,Binea,person
36763,Zabdiel,FATHER_OF,36238,Jashobeam,person
36744,Zichri,FATHER_OF,35058,Eliezer,person
36784,Kemuel,FATHER_OF,36705,Hashabiah,person
19317,Michael,FATHER_OF,36785,Omri,person
19421,Obadiah,FATHER_OF,36786,Ishmaiah,person
36787,Azriel,FATHER_OF,36341,Jerimoth,person
36436,Azaziah,FATHER_OF,18911,Hoshea,person
36788,Pedaiah,FATHER_OF,19091,Joel,person
19872,Zechariah,FATHER_OF,36792,Iddo,person
36755,Abner,FATHER_OF,36793,Jaasiel,person
36352,Jeroham,FATHER_OF,36348,Azareel,person
24105,Uzziah,FATHER_OF,36795,Jehonathan,person
36797,Chelub,FATHER_OF,36796,Ezri,person
36800,Adlai,FATHER_OF,36799,Shaphat,person
36804,Hachmoni,FATHER_OF,36310,Jehiel,person
36246,Benaiah,FATHER_OF,36247,Jehoiada,person
36785,Omri,FATHER_OF,37141,Ammihud,person
37055,Bani,FATHER_OF,37249,Imri,person
37254,Michri,FATHER_OF,37026,Uzzi,person
37141,Ammihud,FATHER_OF,37248,Uthai,person
19106,Judah,FATHER_OF,35070,Pharez,person
36352,Jeroham,FATHER_OF,37253,Ibneiah,person
37026,Uzzi,FATHER_OF,36216,Elah,person
37255,Shephathiah,FATHER_OF,36849,Meshullam,person
37258,Pashur,FATHER_OF,36352,Jeroham,person
37261,Meshillemith,FATHER_OF,36849,Meshullam,person
36865,Azrikam,FATHER_OF,37262,Hasshub,person
37262,Hasshub,FATHER_OF,36417,Shemaiah,person
37265,Galal,FATHER_OF,36417,Shemaiah,person
36345,Elkanah,FATHER_OF,3504,Asa,person
36422,Ebiasaph,FATHER_OF,36722,Kore,person
36417,Shemaiah,FATHER_OF,19421,Obadiah,person
3504,Asa,FATHER_OF,36423,Berechiah,person
36721,Meshelemiah,FATHER_OF,19872,Zechariah,person
36765,Mikloth,FATHER_OF,37272,Shimeam,person
24118,Ahaz,FATHER_OF,37236,Jarah,person
37236,Jarah,FATHER_OF,37060,Alemeth,person
36570,Shema,FATHER_OF,36985,Azaz,person
36985,Azaz,FATHER_OF,36196,Bela,person
36997,Jaroah,FATHER_OF,36996,Huri,person
19317,Michael,FATHER_OF,3519,Gilead,person
36999,Jahdo,FATHER_OF,36998,Jeshishai,person
37003,Guni,FATHER_OF,37002,Abdiel,person
36996,Huri,FATHER_OF,36539,Abihail,person
37002,Abdiel,FATHER_OF,37001,Ahi,person
24322,Cush,FATHER_OF,28281,Nimrod,person
36070,Mizraim,FATHER_OF,36076,Ludim,person
3581,Canaan,FATHER_OF,26454,Zidon,person
35084,Arphaxad,FATHER_OF,36107,Shelah,person
36107,Shelah,FATHER_OF,29822,Eber,person
36108,Joktan,FATHER_OF,36109,Almodad,person
36197,Beor,FATHER_OF,36196,Bela,person
35430,Zerah,FATHER_OF,36120,Jobab,person
36202,Achbor,FATHER_OF,36201,Baal-hanan,person
36204,Matred,FATHER_OF,36203,Mehetabel,person
36442,Nethaneel,FATHER_OF,36417,Shemaiah,person
35320,Abiathar,FATHER_OF,36660,Ahimelech,person
19091,Joel,FATHER_OF,32069,Heman,person
36165,Shobal,FATHER_OF,36587,Reaiah,person
391947,Harum,FATHER_OF,36893,Aharhel,person
36165,Shobal,FATHER_OF,36635,Jahath,person
36635,Jahath,FATHER_OF,36872,Ahumai,person
36890,Coz,FATHER_OF,36891,Anub,person
36141,Shuah,FATHER_OF,36897,Mehir,person
36898,Eshton,FATHER_OF,36899,Beth-rapha,person
36905,Meonothai,FATHER_OF,36906,Ophrah,person
36904,Seraiah,FATHER_OF,36233,Joab,person
19106,Judah,FATHER_OF,36107,Shelah,person
36843,Amaziah,FATHER_OF,36954,Joshah,person
36904,Seraiah,FATHER_OF,36965,Josibiah,person
36972,Allon,FATHER_OF,36971,Shiphi,person
36313,Shimri,FATHER_OF,36663,Jedaiah,person
36965,Josibiah,FATHER_OF,36335,Jehu,person
36971,Shiphi,FATHER_OF,36970,Ziza,person
36702,Gedaliah,FATHER_OF,38287,Cushi,person
43157,Hizkiah,FATHER_OF,36645,Amariah,person
38287,Cushi,FATHER_OF,19878,Zephaniah,person
35435,Amon,FATHER_OF,19105,Josiah,person
19544,Reuben,FATHER_OF,41449,Bohan,person
36272,Hepher,FATHER_OF,37117,Zelophehad,person
19097,Joseph,FATHER_OF,19265,Manasseh,person
20658,Nun,FATHER_OF,19104,Joshua,person
41437,Jephunneh Hebron,FATHER_OF,3580,Caleb,person
36503,Carmi,FATHER_OF,36504,Achan,person
35430,Zerah,FATHER_OF,36499,Zabdi,person
35430,Zerah,FATHER_OF,36504,Achan,person
19265,Manasseh,FATHER_OF,36527,Machir,person
41653,Zippor,FATHER_OF,35851,Balak,person
36197,Beor,FATHER_OF,3518,Balaam,person
3247,Aaron,FATHER_OF,35452,Eleazar,person
36158,Kenaz,FATHER_OF,36783,Othniel,person
391963,Pethuel,FATHER_OF,19091,Joel,person
38310,Bichri,FATHER_OF,36072,Sheba,person
36305,Maacah,FATHER_OF,36830,Absalom,person
36834,Abital,FATHER_OF,36344,Shephatiah,person
24296,Laish,FATHER_OF,38370,Phaltiel,person
37187,Gera,FATHER_OF,36627,Shimei,person
36486,Nahash,FATHER_OF,38281,Shobi,person
18663,David,FATHER_OF,36830,Absalom,person
18663,David,FATHER_OF,36828,Amnon,person
37141,Ammihud,FATHER_OF,36831,Talmai,person
19095,Jonathan,FATHER_OF,37231,Mephibosheth,person
37408,Barzillai,FATHER_OF,37631,Adriel,person
36610,Shimea,FATHER_OF,19095,Jonathan,person
38340,Agee,FATHER_OF,36162,Shammah,person
36261,Baanah,FATHER_OF,36260,Heleb,person
36262,Ribai,FATHER_OF,38261,Ittai,person
36270,Sharar,FATHER_OF,36268,Ahiam,person
38346,Ahasbai,FATHER_OF,36838,Eliphelet,person
36805,Ahithophel,FATHER_OF,36729,Eliam,person
19330,Nathan,FATHER_OF,38355,Igal,person
35320,Abiathar,FATHER_OF,19095,Jonathan,person
19878,Zephaniah,FATHER_OF,19105,Josiah,person
37031,Josedech,FATHER_OF,19104,Joshua,person
36423,Berechiah,FATHER_OF,19872,Zechariah,person
37229,Zur,FATHER_OF,42340,Cozbi,person
42409,Lael,FATHER_OF,42227,Eliasaph,person
36418,Uzziel,FATHER_OF,36416,Elizaphan,person
36539,Abihail,FATHER_OF,42413,Zuriel,person
36419,Izhar,FATHER_OF,36188,Korah,person
19213,Levi,FATHER_OF,25342,Kohath,person
42297,Zuar,FATHER_OF,36442,Nethaneel,person
42243,Shedeur,FATHER_OF,42220,Elizur,person
42222,Zurishaddai,FATHER_OF,42221,Shelumiel,person
42300,Pedahzur,FATHER_OF,18873,Gamaliel,person
42231,Gideoni,FATHER_OF,42225,Abidan,person
42245,Ammishaddai,FATHER_OF,36329,Ahiezer,person
42302,Ocran,FATHER_OF,42226,Pagiel,person
39529,Enan,FATHER_OF,42228,Ahira,person
19213,Levi,FATHER_OF,39304,Jochebed,person
3247,Aaron,FATHER_OF,36659,Ithamar,person
37141,Ammihud,FATHER_OF,37044,Shemuel,person
42473,Chislon,FATHER_OF,42472,Elidad,person
409520,Jogli,FATHER_OF,37025,Bukki,person
36444,Ephod,FATHER_OF,42474,Hanniel,person
392537,Shiphtan,FATHER_OF,36784,Kemuel,person
415562,Parnach,FATHER_OF,36416,Elizaphan,person
404781,Azzan,FATHER_OF,42475,Paltiel,person
402498,Shelomi,FATHER_OF,37207,Ahihud,person
37141,Ammihud,FATHER_OF,42476,Pedahel,person
36692,Zaccur,FATHER_OF,36395,Shammua,person
36170,Hori,FATHER_OF,36799,Shaphat,person
19097,Joseph,FATHER_OF,38355,Igal,person
20658,Nun,FATHER_OF,42266,Oshea,person
396060,Raphu,FATHER_OF,42261,Palti,person
403086,Sodi,FATHER_OF,42262,Gaddiel,person
42264,Susi,FATHER_OF,42263,Gaddi,person
19317,Michael,FATHER_OF,42269,Sethur,person
403600,Vophsi,FATHER_OF,42270,Nahbi,person
410045,Machi,FATHER_OF,42271,Geuel,person
19265,Manasseh,FATHER_OF,36524,Jair,person
38022,Amittai,FATHER_OF,19094,Jonah,person
40102,Beeri,FATHER_OF,18910,Hosea,person
36330,Joash,FATHER_OF,19086,Jeroboam,person
36138,Jokshan,FATHER_OF,36072,Sheba,person
39300,Zohar,FATHER_OF,40008,Ephron,person
35071,Terah,FATHER_OF,36121,Abram,person
36573,Haran,FATHER_OF,19259,Lot,person
36573,Haran,FATHER_OF,39823,Milcah,person
35084,Arphaxad,FATHER_OF,36106,Salah,person
36106,Salah,FATHER_OF,29822,Eber,person
35072,Nahor,FATHER_OF,19199,Laban,person
34008,Hamor,FATHER_OF,34007,Shechem,person
36950,Bethuel,FATHER_OF,19200,Rebekah,person
39823,Milcah,FATHER_OF,36950,Bethuel,person
35072,Nahor,SPOUSE_OF,39823,Milcah,person
36950,Bethuel,FATHER_OF,19199,Laban,person
40238,Adah,FATHER_OF,36150,Eliphaz,person
36167,Anah,FATHER_OF,36215,Aholibamah,person
