name_en,name_es,gender,testament,description,meaning
Elidad,Elidad,Male,Both,the leader of the tribe of Benjamin (NUM 34:21) to apportion the Land (NUM 34:17),beloved of God
Eliehoenai,Eliehoenai,Male,OT,seventh-born son of Meshelemiah [Shallum_7] (1CH 26:3),
Eliel,Eliel,Male,Both,head of households (1CH 5:24) in Manasseh (1CH 5:23),"God, my God"
Elienai,Elienai,Male,OT,son of Shimei [Shema v13] (1CH 8:20),the God of my eyes
Eliezer,Eliezer,Male,Both,of Damascus (GEN 15:2),"help, or court, of my God"
Elihoenai,Elihoenai,Male,Unknown,,
Elihoreph,Elihoreph,Male,OT,secretary for King Solomon (1KI 4:3),"god of winter, or of youth"
Elihu,Elihu,Male,Both,father of Jeroham and ancestor of Samuel (1SA 1:1),he is my God himself
Elijah,Elías,Male,Both,"the prophet, Tishbite, who was of the settlers of Gilead (1KI 17:1)","God the Lord, the strong Lord"
Elika,Elika,Male,Both,"the Harodite, ninth of ""the thirty"" of David's men (2SA 23:25)",pelican of God
Elimelech,Elimelec,Male,Both,husband of Naomi (RUT 1:2),my God is king
Elioenai,Elioenai,Male,OT,son of Neariah (1CH 3:23),toward him are mine eyes; or to him are my fountains
Eliphal,Elifal,Male,Unknown,,a miracle of God
Eliphalet,Elifalet,Male,OT,"God his deliverance, one of David’s sons ([2 Sam",the God of deliverance
Eliphaz,Elifaz,Male,Both,"son of Esau (GEN 36:4, 10, 15)",the endeavor of God
Elipheleh,Elifeleh,Male,NT,"God will distinguish him, one of the porters appointed to play “on the Sheminith” on the occasion of the bringing up of the ark to the city of David (...",
Eliphelehu,Elifelehu,Male,OT,"second rank Levite, gatekeeper (1CH 15:18)",
Eliphelet,Elifelet,Male,OT,son of David (2SA 5:16),
Elisabeth,Elisabeth,Female,NT,"God her oath, the mother of John the Baptist ([Luke 1:5](/luke#Luke","Elizabeth, the oath, or fullness, of God"
Elisha,Eliseo,Male,Both,anointed prophet in Elijah's place (1KI 19:16),salvation of God
Elishah,Elishah,Male,Both,son of Javan (GEN 10:4),it is God; the lamb of God: God that gives help
Elishama,Elishama,Male,Both,head of the tribe of Ephraim during the census (NUM 1:10),God hearing
Elishaphat,Elishafat,Male,Both,"son of Zichri (2CH 23:1), supported Joash as king of Judah",my God judgeth
Elisheba,Elisheba,Female,Both,wife of Aaron and daughter of Amminadab (EXO 6:23),same as Elisabeth
Elishua,Elishua,Male,OT,son of David (2SA 5:15),God is my salvation
Eliud,Eliud,Male,NT,son of Achim in the lineage of the Messiah (MAT 1:14),God is my praise
Elizabeth,Elisabet,Female,NT,wife of Zacharias (LUK 1:5),
Elizaphan,Elizafan,Male,Both,the leader of the tribe of Zebulun (NUM 34:25) to apportion the Land (NUM 34:17),
Elizur,Elizur,Male,Both,head of the tribe of Reuben during the census (NUM 1:5),God is my strength; my rock; rock of God
Elkanah,Elcana,Male,Both,son of Korah (EXO 6:24),God the zealous; the zeal of God
Elmadam,Elmadam,Male,NT,in the lineage of Messiah (LUK 3:28),
Elmodam,Elmodam,Male,Unknown,,"the God of measure, or of the garment"
Elnaam,Elnaam,Male,OT,father of Jeribai and Joshaviah (1CH 11:46),God's fairness
Elnathan,Elnathan,Male,OT,"from Jerusalem, father of Nehushta (2KI 24:8), an official (JER 36:12)",God hath given; the gift of God
Elon,Elón,Male,Both,"the Hittite, father of Basemath, Esau's wife (GEN 26:34)",oak; grove; strong
Elpaal,Elpaal,Male,OT,son of Shaharaim by Hushim (1CH 8:11),God's work
Elpalet,Elpalet,Male,Unknown,,same as Eliphalet
Eluzai,Eluzai,Male,OT,came to David's aid at Ziklag (1CH 12:5),God is my strength
Elymas,Elymas,Male,NT,"Magician or sorcerer, the Arabic name of the Jew Bar-jesus, who withstood Paul and Barnabas in Cyprus","a magician, a corrupter"
Elzabad,Elzabad,Male,Both,ninth among the Gadites to go to David (1CH 12:12),the dowry of God
Elzaphan,Elzafan,Male,OT,son of Uzziel (EXO 6:22),God of the northeast wind
Enan,Enan,Male,OT,father of Ahira (NUM 1:15),cloud
Enoch,Enoc,Male,Both,son of Cain (GEN 4:17),dedicated; disciplined
Enos,Enos,Male,Both,"Man the son of Seth, and grandson of Adam ([Gen",mortal man; sick; despaired of; forgetful
Enosh,Enosh,Male,OT,son of Seth (GEN 4:26),
Epaenetus,Epaenetus,Male,NT,"Commendable, a Christian at Rome to whom Paul sent his salutation ([Rom",
Epanetus,Epanetus,Male,NT,the first to convert to Christ from Asia (ROM 16:5),
Epaphras,Epafras,Male,NT,"Lovely, spoken of by Paul ([Col",covered with foam
Epaphroditus,Epafrodito,Male,NT,Paul's fellow worker and fellow solder (PHP 2:25),agreeable; handsome
Ephah,Efah,Male,OT,son of Midian and grandson of Abraham through Keturah (GEN 25:4),weary; tired
Ephai,Efai,Male,Both,the Netophathite (JER 40:8),
Epher,Efer,Male,Both,son of Midian and grandson of Abraham through Keturah (GEN 25:4),dust; lead
Ephlal,Ephlal,Male,OT,son of Zabad (1CH 2:37),
Ephod,Efod,Male,OT,father of Hanniel (NUM 34:23),
Ephraim,Efraín,Male,Both,second son of Joseph (GEN 41:52),fruitful; increasing
Ephratah,Ephratah,Female,Both,"The second wife of Caleb, the son of Hezron, mother of Hur, and grandmother of Caleb, who was one of those that were sent to spy the land ([1 Chr","Ephrath, abundance; bearing fruit"
Ephrath,Ephrath,Female,OT,second wife of Chelubai [Caleb] (1CH 2:19),
Ephron,Ephron,Male,Both,sold the cave at Machpelah to Abraham (GEN 23:16),dust
Er,Er,Male,OT,firstborn son of Judah (GEN 38:3),watchman
Eran,Eran,Male,OT,son of Shuthelah (NUM 26:35),follower
Erastus,Erasto,Male,NT,one of the men who ministered to Paul (ACT 19:22),"lovely, amiable"
Eri,Eri,Male,OT,son of Gad (GEN 46:16),my city
Esar-haddon,Esar-haddon,Male,Unknown,,that closes the point; joy; cheerfulness
Esarhaddon,Esarhaddon,Male,OT,King of Assyria and son of Sennacherib (2KI 19:37),
Esau,Esaú,Male,OT,firstborn son of Isaac (GEN 25:25-26),he that acts or finishes
Eshban,Eshban,Male,OT,son of Dishon (GEN 36:26),
Eshcol,Eshcol,Male,Both,the Amorite (GEN 14:13),bunch of grapes
Eshek,Eshek,Male,OT,brother of Azel (1CH 8:39),"violence, force"
Eshtemoa,Eshtemoa,Male,OT,son of Mered and Bithia (1CH 4:17),the bosom of a woman
Eshton,Eshton,Male,OT,son of Mehir (1CH 4:11),
Esli,Esli,Male,Unknown,,near me; he who separates
Esther,Ester,Female,NT,"The queen of Ahasuerus, and heroine of the book that bears her name",secret; hidden
Etam,Etam,Male,OT,"father of Jezreel, Ishma, Ibdash, and Hazzelelponi (1CH 4:3)","their bird, their covering"
Ethan,Ethan,Male,Both,the Ezrahite (1KI 4:31) [Zerahite?- 1CH 2:6],strong; the gift of the island
Ethbaal,Ethbaal,Male,Both,father of Jezebel and king of the Sidonians (1KI 16:31),"toward the idol, or with Baal"
Ethnan,Ethnan,Male,OT,son of Ashhur and Helah (1CH 4:7),gift
Ethni,Ethni,Male,OT,son of Zerah (1CH 6:41),strong
Eubulus,Eubulus,Male,Unknown,sent greetings via Paul to Timothy (2TI 4:21),prudent; good counselor
Eunice,Eunice,Female,Unknown,Timothy's mother (2TI 1:5),good victory
Euodia,Euodia,Female,NT,Paul urged her to live in harmony in the Lord (PHP 4:2),
Euodias,Euodias,Female,NT,"A good journey, a female member of the church at Philippi",sweet scent
Eutychus,Eutico,Male,NT,a young man who fell from a third-floor window (ACT 20:9),happy; fortunate
Eve,Eva,Female,Both,"first woman, created from Adam (GEN 2:22)",living; enlivening
Evi,Evi,Male,OT,King of Midian (NUM 31:8),unjust
Evil-merodach,Evil-merodach,Male,Both,King of Babylon (2KI 25:27),the fool of Merodach; the fool grinds bitterly
Ezbai,Ezbai,Male,OT,father of Naarai (1CH 11:37) [Paarai in 2SA 23:35],
Ezbon,Ezbon,Male,OT,son of Gad (GEN 46:16),hastening to understand
Ezekiel,Ezequiel,Male,Both,"the priest, son of Buzi (EZK  1:3)",the strength of God
Ezer,Ezer,Male,Both,son of Seir (GEN 36:21) and chief in Edom (GEN 36:29),a help
Ezra,Esdras,Male,Both,"son of Seraiah (EZR 7:1), scribe skilled in the Law (EZR 7:6)",help; court
Ezrah,Ezrah,Male,OT,"father of Jether, Mered, Epher and Jalon (1CH 4:17)",
Ezri,Ezri,Male,Both,"in charge of David's agricultural workers, son of Chelub (1CH 27:26)",my help
Felix,Félix,Male,NT,the governor of Caesarea (ACT 23:24),"happy, prosperous"
Firstborn of Lot,Firstborn of Lot,Female,OT,mother of Moab (GEN 19:37),
Fortunatus,Fortunatus,Male,NT,"Fortunate, a disciple of Corinth who visited Paul at Ephesus, and returned with Stephanas and Achaicus, the bearers of the apostle’s first letter to t...","lucky, fortunate"
Forunatus,Forunatus,Male,NT,Paul rejoiced over him (1CO 16:17),
Gaal,Gaal,Male,Both,son of Ebed whom the men of Shechem trusted (JDG 9:26),contempt; abomination
Gabbai,Gabbai,Male,OT,descendant of Benjamin (NEH 11:8),the back
Gabriel,Gabriel,Male,Both,instructed to give Daniel an understanding of a vision (DAN 8:16),God is my strength
Gad,Gad,Male,Both,"seventh-born son of Jacob (GEN 30:11, GEN 35:26), son of Zilpah, Leah's handmaid",a band; a troop
Gaddi,Gaddi,Male,Both,1 of the 12 spies- from Manasseh (NUM 13:11),my troop; a kid
Gaddiel,Gaddiel,Male,Both,1 of the 12 spies- from Zebulun (NUM 13:10),goat of God; the Lord my happiness
Gadi,Gadi,Male,OT,father of Menachem (2KI 15:14),
Gaham,Gaham,Male,OT,"son of Nahor via his concubine, Reumah (GEN 22:24)",
Gahar,Gahar,Male,Both,temple servant (EZR 2:47),
Gaius,Gayo,Male,NT,Paul's traveling companion from Macedonia (ACT 19:29),lord; an earthly man
Galal,Galal,Male,Both,counted among the Levites carried into exile (1CH 9:15)- son of Jeduthun (1CH 9:16),"a roll, a wheel"
Gallio,Gallio,Male,NT,proconsul of Achaia (ACT 18:12),"who sucks, or lives on milk"
Gamaliel,Gamaliel,Male,Both,head of the tribe of Manasseh during the census (NUM 1:10),recompense of God; camel of God
Gamul,Gamul,Male,Both,twenty-second-chosen priest for the twenty-four courses (1CH 24:17),a recompense
Gareb,Gareb,Male,Both,"the Ithrite, thirty-sixth of ""the thirty"" of David's men (2SA 23:38)",a scab
Garmite,Garmite,Male,Unknown,,
Gatam,Gatam,Male,OT,son of Eliphaz (GEN 36:11) and chief of Edom (GEN 36:16),their lowing; their touch
Gazez,Gazez,Male,OT,son of Chelubai [Caleb] by Ephah (1CH 2:46),a passing over
Gazzam,Gazzam,Male,OT,temple servant (EZR 2:48),the fleece of them
Geber,Geber,Male,OT,"one of Solomon's twelve deputies (1KI 4:7), in Gilead (1KI 4:18)","manly, strong"
Gedaliah,Gedalías,Male,Both,"son of Ahikam, appointed King of Judah by Nebuchadnezzar (2KI 25:22)",God is my greatness
Gedor,Gedor,Male,OT,son of Penuel (1CH 4:4),
Gehazi,Giezi,Male,OT,servant of Elisha (2KI 4:12) who became leprous (2KI 5:27),valley of sight
Gemalli,Gemalli,Male,OT,father of Ammiel (NUM 13:12),wares; a camel
Gemariah,Gemarías,Male,Both,son of Hilkiah_3 (JER 29:3),accomplishment or perfection of the Lord
Genubath,Genubath,Male,Both,son of Hadad (1KI 11:20),theft; robbery
Gera,Gera,Male,Both,"(grand?)son of Benjamin (GEN 46:21), son of Bela (1CH 8:3)","pilgrimage, combat; dispute"
Gershom,Gersón,Male,Both,Moses' first son (EXO 2:22),a stranger here
Gershon,Gersón,Male,Both,son of Levi (GEN 46:11),his banishment; the change of pilgrimage
Gesham,Gesham,Male,Unknown,,
Geshan,Geshan,Male,OT,son of Jahdai (1CH 2:47),
Geshem,Geshem,Male,Both,the Arab who opposed Nehemiah (NEH 2:19),
Gether,Gether,Male,OT,son of Aram (GEN 10:23),the vale of trial or searching
Geuel,Geuel,Male,Both,1 of the 12 spies- from Gad (NUM 13:15),God's redemption
Gibbar,Gibbar,Male,OT,his sons (descendants) returned to Judah after captivity (EZR 2:20),"strong, manly"
Gibea,Gibea,Male,OT,son of Sheva (1CH 2:49),
Gibeon,Gibeon,Male,Unknown,,hill; cup; thing lifted up
Giddalti,Giddalti,Male,OT,"son of Heman_3 (1CH 25:4), chosen twenty-second by lot (1CH 25:29)",
Giddel,Giddel,Male,OT,temple servant (EZR 2:47),great
Gideon,Gedeón,Male,Both,son of Joash (JDG 6:11) who torn down the altar to Baal (JDG 6:25),he that bruises or breaks; a destroyer
Gideoni,Gideoni,Male,OT,father of Abidan (NUM 1:11),same as Gideon
Gilalai,Gilalai,Male,OT,Levite with music instruments (NEH 12:36),a wheel
Gilead,Gilead,Male,OT,"a son of Machir, grandson of Manasseh (NUM 26:29)",the heap or mass of testimony
Ginath,Ginath,Male,OT,father of Tibni (1KI 16:21),"Ginnetho, a garden"
Ginnethon,Ginnethon,Male,OT,Aaronic priest (NEH 10:8),
Girgash,Girgash,Male,OT,son of Canaan (GEN 10:15),
Girgasite,Girgasite,Male,Both,"Dwelling in clayey soil, the descendants of the fifth son of Canaan ([Gen",
Gishpa,Gishpa,Male,Both,in charge of the temple servants (NEH 11:21),
Gispa,Gispa,Male,Unknown,,coming hither
God,God,Male,Unknown,(A,
Gog,Gog,Male,OT,"son of Shemaiah (1CH 5:4), Reubenite (1CH 5:3)",roof; covering
Goliath,Goliat,Male,Both,"Philistine champion, from Gath (1SA 17:4)",passage; revolution; heap
Gomer,Gomer,Male,Both,son of Japheth (GEN 10:2),to finish; complete
Guni,Guni,Male,OT,son of Naphtali (GEN 46:24),a garden; a covering
Haahashtari,Haahashtari,Male,OT,son of Ashhur and Naarah (1CH 4:6),a runner
Habaiah,Habaías,Male,Both,unable to give evidence if they were from the priesthood (EZR 2:61),the hiding of the Lord
Habakkuk,Habacuc,Male,Both,the prophet (HAB 1:1),he that embraces; a wrestler
Habaziniah,Habazinías,Male,Unknown,,
Habazziniah,Habazzinías,Male,Both,the Rechabite (JER 35:3),
Hacaliah,Hacalías,Male,OT,father of Nehemiah (NEH 1:1),
Hachaliah,Hachalías,Male,Unknown,,who waits for the Lord
Hachmoni,Hachmoni,Male,Both,"father of Jehiel, the tutor of David's sons (1CH 27:32)",a wise man
Hadad,Hadad,Male,Both,eighth-born son of Ishmael (GEN 25:15),joy; noise; clamor
Hadadezer,Hadadezer,Male,OT,"King of Zobah (2SA 8:3, 1CH 18:3)",beauty of assistance
Hadar,Hadar,Male,OT,"King of Edom, successor to Baal-hanan, his city was Pau (GEN 36:39)",power; greatness
Hadarezer,Hadarezer,Male,NT,"Hadad is help; called also Hadarezer, Adod is his help, the king of Zobah",same as Hadadezer
Hadassah,Hadassah,Female,OT,cousin of Mordecai (EST 2:7),a myrtle; joy
Hadlai,Hadlai,Male,Both,"father of Amasa, who aided defeated Judaites (2CH 28:12)",loitering; hindering
Hadoram,Hadoram,Male,Both,son of Joktan (GEN 10:27),their beauty; their power
Hagab,Hagab,Male,OT,temple servant (EZR 2:46),"Hagabah, a grasshopper"
Hagabah,Hagabah,Male,OT,temple servant (EZR 2:45),
Hagar,Agar,Female,Both,the Egyptian servant of Sarai (GEN 16:1),a stranger; one that fears
Haggai,Hageo,Male,Both,the prophet (EZR 5:1) of the book of Haggai,feast; solemnity
Haggedolim,Haggedolim,Male,OT,father of Zabdiel (NEH 11:14),
Haggeri,Haggeri,Male,Unknown,,"Haggi, a stranger"
Haggi,Haggi,Male,OT,son of Gad (GEN 46:16),
Haggiah,Haggías,Male,OT,son of Shimea (1CH 6:30),the Lord's feast
Haggith,Haggith,Female,Both,wife (concubine?) of King David (2SA 3:4),rejoicing
Hagri,Hagri,Male,OT,father of Mibhar (Bani_1) (1CH 11:38),
Hakkatan,Hakkatan,Male,OT,father of Johanan who went up with Ezra (EZR 8:12),little
Hakkoz,Hakkoz,Male,Both,"seventh-chosen priest for the twenty-four courses (1CH 24:10), his descendants could not show proof of lineage (NEH 7:63)",a thorn; summer; an end
Hakupha,Hakufa,Male,OT,temple servant (EZR 2:51),a commandment of the mouth
Hallohesh,Hallohesh,Male,Both,official of half the district of Jerusalem and father of Shallum (NEH 3:12),
Halohesh,Halohesh,Male,Unknown,,
Ham,Cam,Male,Both,son of Noah (GEN 5:32),hot; heat; brown
Haman,Amán,Male,Both,son of Hammedatha the Agagite (EST 3:1),noise; tumult
Hamath,Hamath,Male,OT,son of Canaan (GEN 10:15),anger; heat; a wall
Hamathite,Hamathite,Male,Unknown,,
Hammedatha,Hammedatha,Male,Both,the Agagite (EST 3:1),he that troubles the law
Hammelech,Hammelec,Male,Both,"The king’s, the father of Jerahmeel, mentioned in [Jer",a king; a counselor
Hammolecheth,Hammolecheth,Female,OT,sister of Gilead and daughter of Machir (1CH 7:18),
Hammoleketh,Hammoleketh,Female,Both,"The queen, the daughter of Machir and sister of Gilead ([1 Chr",
Hammuel,Hammuel,Male,OT,"son of Mishma (1CH 4:26), Simeonite (1CH 4:24)",
Hamor,Hamor,Male,Both,"the Hivite, father of Shechem (GEN 34:2)",an ass; clay; dirt
Hamuel,Hamuel,Male,Unknown,,
Hamul,Hamul,Male,Both,son of Perez and grandson of Judah (GEN 46:12),godly; merciful
Hamutal,Hamutal,Female,Both,mother of Jehoahaz (2KI 23:31),the shadow of his heat
Hanameel,Hanameel,Male,Both,"Whom God has graciously given, the cousin of Jeremiah, to whom he sold the field he possessed in Anathoth, before the siege of Jerusalem ([Jer",the grace that comes from God; gift of God
Hanamel,Hanamel,Male,OT,"son of Shallum (JER 32:7), Jeremiah's cousin",
Hanan,Hanan,Male,OT,son of Shashak (1CH 8:23),full of grace
Hanani,Hanani,Male,OT,"father of Jehu (1KI 16:1, 2CH 19:2)",my grace; my mercy
Hananiah,Hananías,Male,OT,son of Zerubbabel (1CH 3:19),grace; mercy; gift of the Lord
Haniel,Haniel,Male,Both,A chief of the tribe of Asher ([1 Chr,the gift of God
Hannah,Ana,Female,Both,"wife of Elkanah (1SA 1:2), mother of Samuel (1SA 1:20)",gracious; merciful; he that gives
Hanniel,Hanniel,Male,Both,the leader of the tribe of Manasseh (NUM 34:23) to apportion the Land (NUM 34:17),grace or mercy of God
Hanoch,Hanoch,Male,OT,son of Midian and grandson of Abraham through Keturah (GEN 25:4),dedicated
Hanun,Hanun,Male,Both,King of the Ammonites (2SA 10:1),gracious; merciful
Happizzez,Happizzez,Male,Both,eighteenth-chosen priest for the twenty-four courses (1CH 24:15),
Haran,Haran,Male,Both,son of Terah (GEN 11:26),mountainous country
Harbona,Harbona,Male,Both,one of the seven eunuchs who served in the presence of King Ahasuerus (EST 1:10),
Harbonah,Harbonah,Male,Unknown,,his destruction; his sword
Hareph,Hareph,Male,OT,son of Hur who founded Beth-gader (1CH 2:51),winter; reproach
Harhaiah,Harhaías,Male,Both,"of the goldsmiths, father of Uzziel (NEH 3:8)","heat, or anger, of the Lord"
Harhas,Harhas,Male,OT,father of Tikvah (2KI 22:14),anger; heat of confidence
Harhur,Harhur,Male,Both,temple servant (EZR 2:51),made warm
Harim,Harim,Male,Both,third-chosen priest for the twenty-four courses (1CH 24:8),destroyed; dedicated to God
Hariph,Hariph,Male,OT,non-Levite leader (NEH 10:14),
Harnepher,Harnefer,Male,Both,son of Zophah (1CH 7:36),the anger of a bull; increasing heat
Haroeh,Haroeh,Male,OT,son of Shobal (1CH 2:52),
Harsha,Harsha,Male,Both,temple servant (EZR 2:52),workmanship; a wood
Harum,Harum,Male,OT,son of Koz (1CH 4:8),high; throwing down
Harumaph,Harumaph,Male,OT,father of Jedaiah (NEH 3:10),destruction
Haruz,Haruz,Male,Both,"of Jothbah, father of Meshullemeth (2KI 21:19)",careful
Hasadiah,Hasadías,Male,Both,son of Meshullam (1CH 3:20),the mercy of the Lord
Hasenuah,Hasenuah,Male,OT,"Bristling or hated, a Benjamite ([1 Chr",
Hashabiah,Hashabías,Male,Both,"son of Amaziah (1CH 6:45), Levite during the return (NEH 10:11, NEH 12:24)",the estimation of the Lord
Hashabnah,Hashabnah,Male,OT,non-Levite leader (NEH 10:14),"Hashabniah, the silence of the Lord"
Hashabneiah,Hashabneías,Male,OT,father of Hattush (NEH 3:10),
Hashabniah,Hashabnías,Male,Unknown,,
Hashbadana,Hashbadana,Male,Both,"Consideration in judging, stood at Ezra’s left hand when he read the law ([Neh",
Hashbaddanah,Hashbaddanah,Male,Both,stood on Ezra's left hand as he read from the Law (NEH 8:4),
Hashub,Hashub,Male,Unknown,,esteemed; numbered
Hashubah,Hashubah,Male,OT,son of Meshullam (1CH 3:20),estimation; thought
Hashum,Hashum,Male,OT,his sons (descendants) returned to Judah after captivity (EZR 2:19),silence; their hasting
Hasrah,Hasrah,Male,NT,"Poverty, “keeper of the wardrobe,” i",wanting
Hassenaah,Hassenaah,Male,Both,his sons built the fish gate (NEH 3:3),
Hassenuah,Hassenuah,Male,OT,descendant of Benjamin (1CH 9:7),
Hasshub,Hasshub,Male,Both,son of Azrikam (1CH 9:14),
Hassophereth,Hassofereth,Male,OT,Solomon's servant (EZR 2:55),
Hasupha,Hasufa,Male,Both,temple servant (EZR 2:43),
Hatach,Hatach,Male,NT,"Verity, one of the eunuchs or chamberlains in the palace of Ahasuerus ([Esther 4:5](/esth#Esth",he that strikes
Hathach,Hathach,Male,OT,king's eunuch appointed to attend Esther (EST 4:5),
Hathath,Hathath,Male,OT,son of Othniel (1CH 4:13),fear
Hatipha,Hatifa,Male,Both,temple servant (EZR 2:54),
Hatita,Hatita,Male,Both,his sons (descendants) returned to Judah after captivity (EZR 2:42),a bending of sin
Hattil,Hattil,Male,OT,Solomon's servant (EZR 2:55),howling for sin
Hattush,Hattush,Male,OT,son of Shecaniah (1CH 3:22),forsaking sin
Havilah,Havilah,Male,Both,son of Cush (GEN 10:7),that suffers pain; that brings forth
Hazael,Hazael,Male,OT,king over Aram (1KI 19:15),that sees God
Hazaiah,Hazaías,Male,OT,son of Adaiah (NEH 11:5),seeing the Lord
Hazarmaveth,Hazarmaveth,Male,Both,son of Joktan (GEN 10:26),dwelling of death
Hazelelponi,Hazelelponi,Female,Unknown,,sorrow of countenance
Haziel,Haziel,Male,Both,son of Shimei_8 within the family of Ladan (1CH 23:9),
Hazo,Hazo,Male,Both,son of Nahor (GEN 22:22),seeing; prophesying
Hazzelelponi,Hazzelelponi,Female,OT,daughter of Etam (1CH 4:3),
Heber,Heber,Male,OT,son of Beriah (GEN 46:17),one that passes; anger
Hebron,Hebron,Male,Both,son of Kohath (EXO 6:18),society; friendship
Hegai,Hegai,Male,Both,the king's eunuch (EST 2:3),"or Hege, meditation; word; groaning; separation"
Helah,Helah,Female,OT,wife of Ashhur (1CH 4:5),
Heldai,Heldai,Male,Both,the Netophathite of Othniel (1CH 27:15),"Heleb, Heled, the world; rustiness"
Heleb,Heleb,Male,Both,"son of Baanah (2SA 23:29), sixteenth of ""the thirty"" of David's men",
Helek,Helek,Male,OT,son of Gilead (NUM 26:30),part; portion
Helem,Helem,Male,Unknown,[Zech,dreaming; healing
Helez,Helez,Male,Both,"the Paltite (Pelonite in 1CH 11:27), tenth of ""the thirty"" of David's men (2SA 23:26)",armed; set free
Heli,Heli,Male,NT,"Elevation, father of Joseph in the line of our Lord’s ancestry ([Luke 3:23](/luke#Luke",ascending; climbing up
Helkai,Helkai,Male,Both,son of Meraioth_2 (NEH 12:15),same as Helek
Helon,Helon,Male,Both,father of Eliab (NUM 1:9),window; grief
Hemam,Hemam,Male,OT,son of Lotan (GEN 36:22),
Heman,Heman,Male,OT,son of Zerah (1CH 2:6).  Solomon was wiser than him (1KI 4:31),their trouble; tumult; much; in great number
Hemath,Hemath,Male,Unknown,,
Hemdan,Hemdan,Male,OT,son of Dishon (GEN 36:26),
Henadad,Henadad,Male,Both,official of the other half of the district of Keilah and father of Bavvai (NEH 3:18),grace of the beloved
Henoch,Henoch,Male,Unknown,,same as Enoch
Hepher,Hefer,Male,Both,son of Gilead (NUM 26:30-32),a digger
Hephzi-bah,Hephzi-bah,Female,Unknown,,
Hephzibah,Hephzibah,Female,OT,mother of King Manasseh (2KI 21:1),my delight is in her
Heresh,Heresh,Male,Both,counted among the Levites carried into exile (1CH 9:15),a carpenter
Hermas,Hermas,Male,NT,Paul sends greetings to him (ROM 16:14),"Hermes, Mercury; gain; refuge"
Hermes,Hermes,Male,NT,Paul sends greetings to him (ROM 16:14),
Hermogenes,Hermogenes,Male,Unknown,turned away from Paul in Asia (2TI 1:15),begotten of Mercury
Herod,Herodes,Male,NT,the king (MAT 2:1),son of a hero
Herod Agrippa I,Herod Agrippa I,Male,NT,"Son of Aristobulus and Bernice, and grandson of Herod the Great",
Herod Antipas,Herod Antipas,Male,NT,Herod’s son by Malthace ([Matt,
Herodian,Herodian,Male,NT,a kinsman of Paul (ROM 16:11),
Herodias,Herodías,Female,NT,wife of Philip (MAT 14:3),
Herodion,Herodion,Male,NT,A Christian at Rome whom Paul salutes and calls his “kinsman” ([Rom,the song of Juno
Hesed,Hesed,Male,Unknown,,
Hesli,Hesli,Male,NT,in the lineage of Messiah (LUK 3:25),
Heth,Heth,Male,Both,son of Canaan (GEN 10:15),trembling; fear
Hezeki,Hezeki,Male,Unknown,,
Hezekiah,Ezequías,Male,OT,"King of Judah, son of Ahaz (2KI 16:20)",strength of the Lord
Hezion,Hezion,Male,Both,father of Tabrimmon (1KI 15:18),
Hezir,Hezir,Male,Both,seventeenth-chosen priest for the twenty-four courses (1CH 24:15),
Hezrai,Hezrai,Male,OT,"A Carmelite, one of David’s warriors ([1 Chr",an entry or vestibule
Hezro,Hezro,Male,Both,"the Carmelite, twenty-ninth of ""the thirty"" of David's men (2SA 23:35)",
Hezron,Hezron,Male,Both,son of Reuben (GEN 46:9),the dart of joy; the division of the song
Hiddai,Hiddai,Male,Both,"of the brooks of Gaash, nineteenth of ""the thirty"" of David's men (2SA 23:30)",a praise; a cry
Hiel,Hiel,Male,Both,the Bethelite who rebuilt Jericho (1KI 16:34),God lives; the life of God
Hilkiah,Hilkías,Male,Both,father of Eliakim (2KI 18:18),God is my portion
Hillel,Hillel,Male,Both,father of Abdon (JDG 12:13),he that praises
Hirah,Hirah,Male,OT,an Adullamite (GEN 38:1),liberty; anger
Hiram,Hiram,Male,OT,King of Tyre (2SA 5:11),exaltation of life; a destroyer
Hivi,Hivi,Male,OT,son of Canaan (GEN 10:15),
Hivite,Hivite,Male,NT,"One of the original tribes scattered over Palestine, from Hermon to Gibeon in the south",
Hizki,Hizki,Male,OT,son of Elpaal (1CH 8:17),
Hizkiah,Hizkías,Male,OT,son of Neariah (1CH 3:23),
Hizkijah,Hizkiías,Male,OT,([Neh,the strength of the Lord
Hobab,Hobab,Male,Both,"the son of Reuel, Moses' father-in-law (NUM 10:29)",favored; beloved
Hod,Hod,Male,Unknown,,praise; confession
Hodaiah,Hodaías,Male,Unknown,,the praise of the Lord
Hodaviah,Hodavías,Male,OT,son of Elioenai (1CH 3:24),"Hodiah, Hodijah, same as Hodaiah"
Hodesh,Hodesh,Female,OT,wife of Shaharaim (1CH 8:9),a table; news
Hodevah,Hodevah,Male,Unknown,,
Hodiah,Hodías,Male,Both,his sons were the fathers of Keilah and Eshtemoa (1CH 4:19),
Hodijah,Hodiías,Male,Both,One of the Levites who assisted Ezra in expounding the law ([Neh,
Hoglah,Hoglah,Female,Both,daughter of Zelophehad (NUM 26:33),his festival or dance
Hoham,Hoham,Male,Both,King of Hebron during the time of the conquest of the Land (JOS 10:3),woe to them
Holy Spirit,Holy Spirit,Male,NT,The third Person of the adorable Trinity,
Homam,Homam,Male,Unknown,,making an uproar
Hophni,Hophni,Male,Both,"son of Eli (1SA 1:3), a corrupt priest (1SA 2:12)",
